run_idx,known_users,unknown_users,overall_accuracy,balanced_accuracy,FRR,FAR,ROC_AUC,n_known_samples,n_unknown_samples,n_test_windows
93,user2;user8;user11,user10;user5;user7;user6,0.9523809523809523,0.9166666666666667,0.1111111111111111,0.0,0.9348148148148148,45,60,105
94,user2;user8;user12,user7;user6;user5;user4,0.9238095238095239,0.9416666666666667,0.044444444444444446,0.1,0.9918518518518518,45,60,105
95,user2;user9;user10,user8;user1;user5;user12,0.6190476190476191,0.6958333333333334,0.2,0.48333333333333334,0.9537037037037037,45,60,105
96,user2;user9;user11,user3;user4;user5;user10,0.5714285714285714,0.75,0.1111111111111111,0.6666666666666666,0.6392592592592592,45,60,105
97,user2;user9;user12,user5;user8;user11;user7,0.7904761904761904,0.8583333333333333,0.08888888888888889,0.3,0.8674074074074074,45,60,105
98,user2;user10;user11,user1;user6;user7;user9,0.6761904761904762,0.8083333333333333,0.08888888888888889,0.5,0.8425925925925926,45,60,105
99,user2;user10;user12,user3;user1;user4;user9,0.6952380952380952,0.8291666666666667,0.06666666666666667,0.48333333333333334,0.6940740740740741,45,60,105
100,user2;user11;user12,user10;user1;user6;user5,0.8380952380952381,0.8916666666666668,0.06666666666666667,0.23333333333333334,0.9540740740740741,45,60,105
101,user3;user4;user5,user11;user6;user7;user12,0.9619047619047619,0.9333333333333333,0.08888888888888889,0.0,1.0,45,60,105
102,user3;user4;user6,user5;user1;user11;user2,0.8,0.8125,0.17777777777777778,0.21666666666666667,0.8322222222222222,45,60,105
103,user3;user4;user7,user11;user1;user6;user12,0.8380952380952381,0.8291666666666666,0.17777777777777778,0.15,0.9662962962962963,45,60,105
104,user3;user4;user8,user10;user1;user6;user11,0.7047619047619048,0.8583333333333334,0.022222222222222223,0.5,0.8207407407407407,45,60,105
105,user3;user4;user9,user5;user12;user7;user11,0.8285714285714286,0.8875,0.06666666666666667,0.25,0.9055555555555556,45,60,105
106,user3;user4;user10,user5;user9;user6;user7,0.9047619047619048,0.8958333333333334,0.1111111111111111,0.08333333333333333,0.9614814814814815,45,60,105
107,user3;user4;user11,user9;user1;user12;user8,0.8380952380952381,0.8791666666666667,0.08888888888888889,0.21666666666666667,0.9522222222222222,45,60,105
108,user3;user4;user12,user2;user11;user5;user6,0.7523809523809524,0.8916666666666666,0.0,0.43333333333333335,0.8985185185185185,45,60,105
109,user3;user5;user6,user9;user10;user2;user11,0.6095238095238096,0.7916666666666667,0.06666666666666667,0.6333333333333333,0.7614814814814814,45,60,105
110,user3;user5;user7,user10;user6;user4;user12,0.780952380952381,0.8166666666666665,0.15555555555555556,0.26666666666666666,0.9066666666666666,45,60,105
111,user3;user5;user8,user10;user4;user6;user2,0.7142857142857143,0.8375,0.06666666666666667,0.45,0.6322222222222222,45,60,105
112,user3;user5;user9,user11;user2;user1;user4,0.7047619047619048,0.7583333333333333,0.08888888888888889,0.36666666666666664,0.7948148148148149,45,60,105
113,user3;user5;user10,user6;user9;user12;user2,0.5523809523809524,0.7166666666666666,0.022222222222222223,0.6666666666666666,0.7111111111111111,45,60,105
114,user3;user5;user11,user12;user7;user8;user6,0.819047619047619,0.8333333333333335,0.15555555555555556,0.2,0.9725925925925927,45,60,105
115,user3;user5;user12,user10;user9;user8;user2,0.6952380952380952,0.8166666666666667,0.08888888888888889,0.4666666666666667,0.6837037037037037,45,60,105
116,user3;user6;user7,user11;user5;user2;user1,0.8380952380952381,0.8166666666666667,0.2,0.13333333333333333,0.902962962962963,45,60,105
117,user3;user6;user8,user5;user2;user1;user12,0.819047619047619,0.8833333333333333,0.06666666666666667,0.26666666666666666,0.7655555555555555,45,60,105
118,user3;user6;user9,user10;user4;user8;user5,0.8,0.8,0.2,0.2,0.9418518518518518,45,60,105
119,user3;user6;user10,user2;user8;user5;user12,0.7523809523809524,0.7916666666666666,0.17777777777777778,0.3,0.7785185185185185,45,60,105
120,user3;user6;user11,user12;user5;user7;user2,0.6571428571428571,0.8125,0.06666666666666667,0.55,0.8574074074074074,45,60,105
121,user3;user6;user12,user1;user5;user7;user2,0.8857142857142857,0.9375,0.022222222222222223,0.18333333333333332,0.8744444444444444,45,60,105
122,user3;user7;user8,user12;user11;user6;user2,0.8666666666666667,0.9291666666666667,0.022222222222222223,0.21666666666666667,0.812962962962963,45,60,105
123,user3;user7;user9,user2;user6;user4;user5,0.4095238095238095,0.6791666666666667,0.1111111111111111,0.95,0.5792592592592591,45,60,105
124,user3;user7;user10,user1;user12;user8;user5,0.7238095238095238,0.8041666666666667,0.13333333333333333,0.38333333333333336,0.8703703703703703,45,60,105
125,user3;user7;user11,user4;user9;user5;user1,0.819047619047619,0.7958333333333334,0.2222222222222222,0.15,0.9062962962962964,45,60,105
126,user3;user7;user12,user5;user2;user4;user11,0.6476190476190476,0.7583333333333333,0.15555555555555556,0.5,0.8044444444444444,45,60,105
127,user3;user8;user9,user2;user7;user5;user12,0.5904761904761905,0.7583333333333334,0.1111111111111111,0.6333333333333333,0.6837037037037037,45,60,105
128,user3;user8;user10,user6;user4;user12;user9,0.8761904761904762,0.9083333333333334,0.06666666666666667,0.16666666666666666,0.8322222222222223,45,60,105
129,user3;user8;user11,user7;user12;user4;user1,0.8761904761904762,0.9333333333333333,0.022222222222222223,0.2,0.8125925925925925,45,60,105
130,user3;user8;user12,user11;user9;user5;user1,0.6285714285714286,0.7875000000000001,0.08888888888888889,0.5833333333333334,0.7362962962962962,45,60,105
131,user3;user9;user10,user7;user5;user2;user4,0.4666666666666667,0.6541666666666667,0.15555555555555556,0.7833333333333333,0.7233333333333333,45,60,105
132,user3;user9;user11,user7;user10;user12;user8,0.7238095238095238,0.8166666666666667,0.1111111111111111,0.4,0.8837037037037037,45,60,105
133,user3;user9;user12,user1;user10;user11;user5,0.6761904761904762,0.7958333333333333,0.1111111111111111,0.48333333333333334,0.8355555555555556,45,60,105
134,user3;user10;user11,user9;user5;user1;user7,0.5428571428571428,0.7625,0.06666666666666667,0.75,0.7207407407407407,45,60,105
135,user3;user10;user12,user1;user11;user8;user2,0.8,0.8625,0.08888888888888889,0.2833333333333333,0.8075925925925926,45,60,105
136,user3;user11;user12,user5;user9;user10;user6,0.9142857142857143,0.85,0.2,0.0,1.0,45,60,105
137,user4;user5;user6,user2;user11;user9;user12,0.8476190476190476,0.9083333333333334,0.044444444444444446,0.23333333333333334,0.9070370370370371,45,60,105
138,user4;user5;user7,user6;user2;user10;user1,0.8380952380952381,0.8916666666666667,0.06666666666666667,0.23333333333333334,0.9370370370370371,45,60,105
139,user4;user5;user8,user3;user2;user9;user1,0.8666666666666667,0.9416666666666667,0.0,0.23333333333333334,0.9374074074074075,45,60,105
140,user4;user5;user9,user2;user1;user3;user10,0.5523809523809524,0.7041666666666666,0.0,0.65,0.834074074074074,45,60,105
141,user4;user5;user10,user11;user8;user2;user9,0.8,0.85,0.044444444444444446,0.26666666666666666,0.9192592592592592,45,60,105
142,user4;user5;user11,user2;user12;user8;user1,0.7523809523809524,0.8416666666666668,0.08888888888888889,0.36666666666666664,0.6929629629629629,45,60,105
143,user4;user5;user12,user7;user1;user2;user8,0.9714285714285714,0.95,0.06666666666666667,0.0,0.9974074074074074,45,60,105
144,user4;user6;user7,user2;user3;user12;user11,0.9238095238095239,0.8666666666666667,0.17777777777777778,0.0,1.0,45,60,105
145,user4;user6;user8,user9;user10;user11;user7,0.8,0.8999999999999999,0.022222222222222223,0.3333333333333333,0.8866666666666667,45,60,105
146,user4;user6;user9,user8;user11;user10;user7,0.9428571428571428,0.9,0.13333333333333333,0.0,0.9925925925925927,45,60,105
147,user4;user6;user10,user5;user7;user1;user2,0.9428571428571428,0.925,0.08888888888888889,0.03333333333333333,0.9962962962962963,45,60,105
148,user4;user6;user11,user10;user7;user2;user12,0.8285714285714286,0.8875,0.06666666666666667,0.25,0.8807407407407407,45,60,105
149,user4;user6;user12,user2;user3;user9;user10,0.9714285714285714,0.95,0.06666666666666667,0.0,1.0,45,60,105
150,user4;user7;user8,user12;user3;user10;user5,0.9809523809523809,0.9666666666666667,0.044444444444444446,0.0,1.0,45,60,105
151,user4;user7;user9,user8;user6;user1;user5,0.8476190476190476,0.9083333333333333,0.044444444444444446,0.23333333333333334,0.8648148148148148,45,60,105
152,user4;user7;user10,user12;user11;user9;user2,0.819047619047619,0.8583333333333334,0.1111111111111111,0.23333333333333334,0.9133333333333333,45,60,105
153,user4;user7;user11,user2;user3;user10;user5,0.9142857142857143,0.85,0.2,0.0,1.0,45,60,105
154,user4;user7;user12,user9;user1;user8;user2,0.9047619047619048,0.8708333333333333,0.15555555555555556,0.05,0.9951851851851852,45,60,105
155,user4;user8;user9,user12;user1;user10;user2,0.8571428571428571,0.925,0.022222222222222223,0.23333333333333334,0.9025925925925926,45,60,105
156,user4;user8;user10,user12;user1;user2;user9,0.8571428571428571,0.9125,0.044444444444444446,0.21666666666666667,0.9077777777777777,45,60,105
157,user4;user8;user11,user1;user10;user12;user7,0.8380952380952381,0.9166666666666666,0.022222222222222223,0.26666666666666666,0.825925925925926,45,60,105
158,user4;user8;user12,user7;user9;user10;user3,0.9904761904761905,0.9833333333333334,0.022222222222222223,0.0,0.9996296296296295,45,60,105
159,user4;user9;user10,user1;user5;user7;user8,0.5714285714285714,0.7375,0.1111111111111111,0.65,0.9540740740740741,45,60,105
